時間戳記,職場壓力話術／內部對話片段,你內心真正想說的話
2025/5/17 下午 12:14:05,群益宜蘭分公司經理人陳美如霸凌員工，而且會將員工的客戶會說他認識的，然後他陪同新人去拜訪成交的案件他會要新人每月交出該業績獎金以現金的方式領給他,群益宜蘭分公司經理人陳美如霸凌員工，而且會將員工的客戶會說他認識的，然後他陪同新人去拜訪成交的案件他會要新人每月交出該業績獎金以現金的方式領給他
2025/5/17 下午 12:22:33,X南XX 苗X主管,務必達成已是她的口頭禪、ipo未達目標就是轉客戶、不給自來戶、扣客、寫報告、每天line回報、晨會言語羞辱、未達額度要在下一檔補齊！搞得員工筋疲力盡
2025/5/17 下午 12:23:34,某同事申請退休，券商經理要求做完ETF的額度才簽退休申請，語氣是潑婦罵街，看在眼裡，是心灰意冷,想對主管說，將心比心吧，人在做，天在看
2025/5/17 下午 1:24:28,我覺得你就是找得不夠多啦，你就只會用LINE，講過多少次了，你確實的找過了嗎，拿了多少資源了，你都來幾年了，看看某某某，為什麼他可以你怎麼不行，可以去問達成的人啊,IPO時把客戶都找過一遍，要做財管時才說你怎麼都沒有分類，客戶要做分類，我去你媽的，不找你又說找太少，賣這個他媽沒有賺錢的東西，只要爆一次客人還會信你做財管嗎？什麼一定有客戶需要，幹你娘的啊你的客戶是客戶，我的客戶不是客戶，去你的勒，客戶死光才再說阿你怎麼都沒數字，被客人罵的時候你有看到嗎？跟妳反應你他媽的不是腦包，就是耳包，把耳朵遮起來講話最大聲，媽的死老人，整天活在之前那個年代，幹不懂現在這世代的痛苦，去你媽的，沒牌還敢賣財管，洗老人，真噁心，不限用途3%，隨便買個債券ETF殖利率6、7%，幹你娘債券都不會跌啦，都會填息啦，整天講這種懶覺話，當客人是喜憨兒還是白癡
2025/5/17 下午 1:28:49,"鳥券商分公司負責人：
我們是一個團體，要為了團體榮譽一起達成目標

這個職位本來就要完成各項責任額，如果你完成不了我覺得你不適合這份工作，要麻煩你自己離開

（在晨會上）公開點名掛0的營業員把責任額移到下一次，說要把客戶抽掉","我想對這個文化說，員工不是公司的奴隸，沒有義務幫忙公司一起扛營運風險，分紅獎金沒有員工的份，但可以凹員工背責任額🙄

就算是公司擴招了過多營業員需要平衡營運成本，那該做的應該是資遣負貢獻的員工，而不是對員工進行壓榨

結果變成新營業員為了存活下去各種砍手續費各種跟銀行借錢來完成責任額

底層背責任，高層喝酒吃肉這樣合理嗎？"
2025/5/17 下午 1:40:05,"「每檔都必須完成，未完成累積到下一檔直到清零為止，不然就必須每天檢討夜摳」
「不要成為老鼠屎，不要拖累母子行」
「100%很難嗎？找熟客買一下就有了」
「別人都做的到，只有你不行就是你的問題」","沒有討厭IPO.但可不可以取消投資型保單的IPO
連高階主管都不願意買，一檔鎖6年，哪來那麼多新客戶新資金"
2025/5/17 下午 1:55:12,綠綠官夫人：（賠）這種小錢對市場大戶不算什麼啦！他在別家一定有賺到錢,那麼好賺 你怎麼從來都不自己認購或找號稱是你你找的客戶認
2025/5/17 下午 3:21:02,做不到就移轉客戶,投資需依照投資人需求，而不是為了賣而賣，出一堆話術騙客戶
2025/5/18 上午 1:31:43,業務領獎金，就該要做到公司的任務，IPo是公司的重要任務，要想辦法達成. 客戶關係好，就拜託客戶買.反正就是要達到目標,"1老闆能不能將心比心，如果換做拿老闆你自己的錢來買，都賠錢你還會買嗎？
2現在網路line通訊軟體是24小時，業務被上層老闆打擾也是24小時，可否要求老闆不要下班打擾呢？
3.IPo募集目標額，為何都是業務想辦法，老闆要以身做則，自己要参與才知道業務的問題
4.金融業的業務根客戶關係好是長期的信任建立，如果因ipo募集不斷賠錢，客戶跟業務關係也會變成不信任..人與人的相處關係就會變化.
上層老闆都是三年ㄧ任，頂多換公司，業務呢？年紀大轉職難，才會造成有人受不了自結生命的事件發生
"
2025/5/18 上午 2:08:09,這檔責任額沒做到，要補在下一檔,證券營業員專注回歸證券本業，財富管理爲輔，以客戶有需要提供商品選擇，不該以每項商品責任額爲導向，迫使需營業員要自掏腰包爲達成各項業績責任額
2025/5/18 上午 2:37:50,悍將隊,"每個月都有專案銷售e l n保險海外債,基金
上半年沒達標的就移轉客戶,或者強制到外地上課訓練,用這種威脅的方式,所以為了不想去外地訓練我們就得淘自己的錢做e l n買海外債,基金,尤其公司都希望我們賣後收基金因為這個手收比較高,,再來就是保險每年額度都要做到500萬以上,每週五都要寫下個月的成交數字,簡直幫我們當成理專在用
簡直是跟銀行沒兩樣
當初的勞動契約條件也沒有這些
但是有去用房子貸款拿一些錢投資順便應付公司的商品,真的已經快受不了了,希望IPO這個事件之後能夠往這一塊來發展,尤其叫我們銷售境外的FCN像美超微那個事件,幾乎客戶都接到美超微有的甚至停損,幸好我的客戶漲上去的時候有賣沒什麼損失
不然真的要赔錢,這個還是當初請之前的朋友幫忙買的,那公司還一直叫我們call客去找有3000萬的投資人來做專頭,銷售的話術就是說低接買股票還可以領利息,結果川普的關稅事件客戶都接到股票,明明川普執政還在辦專案eln的銷售目標,真的是為了達成上層的獲利目標,簡直是把營業員一人當成3人用
那市佔率併了日盛也掉了,又來要求營業員現貨市佔率,現在才知道要回歸到本業,可是客戶都已經快跑光了,然後資援分配也不均,現在都栽培新人資深的都放一邊,都沒有想到資深的才是最辛苦的一員,但是這個跟我們分點的主管沒有關係,我們這一點的主管非常好還會沒達成目標自己會掏錢買基金ETF
都是受到上層部長總經理的壓迫,一句命令全部達標,沒達標的分公司經理人就得上去喝咖啡,所以經理人才會這樣子壓迫下一層的營業員,所以重點就是那些上層,還有母分點的一些經理人的野心,不顧營業員的家計,要把這些無聊的經理人讓他們收斂,這樣子我們在證券業就會比較沒那麼壓力,我們想多賺錢的話我們自己就會去銷售而不是用強迫的責任額
"
2025/5/18 上午 4:09:11,賣投資型保單，不說明手續費，只說配息，也不說明情境分析，用配息率欺騙客戶。還有利用傳承型的保單，來彌補投資虧損，說是資產還原術。,財富管理是長期的規劃管理，團隊合作，創造出客戶的信任與支持，而非一昧的HOT SALE ，透過各種IPO銀行賺管理費，證券叫客戶賺價差，反而錯誤訊號，沒有賺到價差卻賠了本金，許多債券型的ETF原本應該要是中長期的投資卻變成短天期的炒價差工具，而且營業員昧著良心，法人資金部位都出場了，卻不斷地叫散戶一直進來撐場等著被割韭菜，然後法人的資金部位就可以順利賣出，這根本就是沒有良心的券商。
2025/5/18 上午 4:21:11,"罵營業員佔著茅坑不拉屎，
叫客戶換股，保險換單，營業員不用了解產品，帶專人去砍單，客戶約出來就好","
我們雖然年紀大了，我們幾十年對公司跟證券業的貢獻不是年輕主管你可以理解的，拿著點權力，把客戶移轉給你喜歡的年輕女性，其實是剝削了我們資深員工的收入，這是一種侵佔，逼迫我們賣高責任額的IPO，只有謾罵，當你受到公司表揚或者公司招待獎勵的時候，怎麼都沒有想到我們的努力"
2025/5/18 上午 4:23:14,不管是lpo的募集還是基金，壽險，海外債的目標額，一定要我們使命必達，不然公司會被扣kpi,"南區的部長，不要再用使命必達來要求我們，為了不傷到客戶，都是自己買單，真的賠了好幾百萬了，都不敢讓家人知道，真的很累，只想好好做本業的營業員心聲
"
2025/5/18 上午 6:14:23,"*上班不要閒聊趕快去做事。
*妳上班不認真摸魚，快去簽離職書。
*IPO務必要沒達標,不要害同事拿不到獎金。
*妳跟客戶說:不限用途貸款出來幫忙申購IPO ETF,貸款利率就降低。","        營業員也是人，主管交辦任務尚未達成就一直碎碎唸，8：30電話響了不讓出去接單，還說要測試有沒有電話。甚至下班時間到了還不放人，這是合理的嗎？
       每個月都有申購不完的ETF，配額越來越高超乎想像，一上市就破發，客戶都不想申購要等上市再買比較便宜，主管說不要因為你未達標害同事拿不到獎金逼迫 ，還要求跟要借不限用途客戶勸說：幫忙申購ETF就給他低利率，有條件的交換，但一上市後馬上破發，發行的投信都不用負責任的嗎？
       每個月領最低薪資，IPO額度還要自己拿出來做業績，上市後都是虧錢馬上賣出，因為還有下一檔要做，就這樣無限輪迴在痛苦中，不夠甚至還要貸款出來才夠，證券市佔率.期貨口數.複委託.開戶數.融資額度....還要承擔客戶違約風險，這個工作讓我壓力大到失眠了。"
2025/5/18 上午 10:49:23,"某主管：某某分公司都call到晚上八點才走
我們也會陪你們阿 便當錢經理會贊助你們","強迫我加班到八點不給加班費
做得這麼理直氣壯的
現在想想會氣到覺得可笑
21世紀了
還有這種18世紀工業革命時代招童工招的理所當然的惡劣主管 虧這家公司是上市公司 平常媒體報道的幸福是壓榨員工的薪水買的大外宣吧 勞基法你是當參考書？ 你的ipo業績大於勞基法？"
2025/5/18 上午 11:02:24,主管曾經分享其他分公司的業務透過不限用途換到一堆IPO跟財管業績，鼓勵公司同事用IPO優惠利率跟客戶交換條件保險業績或IPO如果客戶都沒貢獻就考慮調高客戶利率。,這裡是券商不是銀行，沒當過營業員的主管，真的不要整天拿銀行那套來套在我們身上，挖來的理專成績拿不出來，又要把財管壓力壓在營業員身上，沒那個實力就不要說大話，我是來當證券營業員的不是來當理專的
2025/5/18 上午 11:34:21,「看不懂你們為什麼遇到問題都不反映」,"其實我不是營業員：
現在做的雖然不是完全業務職，但是看到各家營業員被逼業績、要求賣ETF真的看不下去，上次某一檔ETF有個營業員掛0，因為他覺得那檔商品客人買了會受傷，所以選擇不賣
後來經理人在跟我閒聊的時候，主動和我提起這件事，還說：「幹林..（沒罵出三個字）他這樣給我掛0，叫他把離職單丟出來算了，要就好好做啊！不然就離職！」
當下我聽了真的很難過，但我也只能說「哎呀不至於啦！」..但是經理人依舊不依不饒，還要求那位營業員寫悔過書，真的看不下去！雖然我不是第一線營業員，但是看著各家業務員這樣被逼無奈..
晨會時也常常說「這個商品公司很重視」、「重中之重」、「務必達標」、「沒達標怎樣怎樣」聽了真的很難過，難道真的得要樣樣達標才是好的營業員嗎？營業員難道不是人嗎？那沒有營業員的話，公司又算什麼？
公司難道不是靠業務員在撐這些業績嗎？

各種事情炸鍋或是出問題的時候，經理人就會在營業台上喊：「所以啊，你們自己看啊，有問題又不提出來，這樣我要怎麼幫你們？」

主管確實不是我們的敵人，但除了納涼甩鍋 我沒看過經理人真的幫助業務什麼。"
2025/5/18 下午 12:38:35,你這樣不行，KPI都做不到，你保險要想辦法做到，不要想說逃的掉，年終領少不要怪我,我知是制度問題但可以不要每天晨會都在報怨並說我們搞你
2025/5/18 下午 12:46:16,富邦證券,ㄧ群為了升官的王八蛋（南區劉部長）
2025/5/19 上午 12:05:46,某券商因有回單機制，只要每月有配合的投信要求協銷IPO，券商要求100%達成責任額，若沒達成則分公司經理人要被召回總部檢討，如此情緒勒索營業員,IPO不該月月發行甚至要求100%達成，根本都是人情業績也沒落實KYP，上市就破發、每賣一戶少一戶，難道營業員要變成保險業務員那樣人人喊打？
2025/5/19 上午 12:16:26,合庫證券,分公司的2位廢物主管，對公司是負貢獻，沒幫公司賺過半毛錢就閉嘴好嗎 垃圾
2025/5/19 上午 12:17:09,永豐超業,如果你只做股票，那每個人都能取代你，那公司還要留你做什麼
2025/5/19 上午 1:39:16,我是銀行端理專，每天早上晨會都得先跟分行經理過一遍今天要談IPO的客戶，「客戶幾點要來分行？預計會下多少數字？」；中午邊吃飯也要邊問：「早上客戶有來嗎？有成交IPO數字多少？沒成交的原因？下午幾個客戶要好好把握，不能沒收單」，連吃飯都無法好好吃真的被逼到想吐！下午四點多也是全體會議室集合，再問一次下午來的客戶有沒有成交，目前明天約到幾個客戶來，客戶數沒約夠的準備5：30打完卡後留下來繼續call客，不然明天一早晨會又要被電到起飛，每天都是同樣的地獄輪迴,我是銀行理專，我好累，身邊因為壓力太大健康出狀況的比比皆是🥲我知道沒有主管願意如此逼迫底下的員工，但我們都是受害的一員，每個人都只是出來混口飯吃卻都被高額的目標額搞得裏外不是人。總說客戶要經營、要依客戶需求挑選產品，但只要一開始募集IPO，我們就只能心知肚明的讓客戶去賠錢，這真的是我們台灣的投資人想要的嗎？
2025/5/19 上午 2:17:48,你這檔達不到，下檔累積，留下來call客，禁公司，對公司還有什麼價值，公司不需要你這樣的人,產品是要客戶自行買賣，不是責任額，要員工自行完成，不完成就約談，這種恐懼，巳造成連夢都是ipo，壓力己大到看精神科，公司標榜的幸福企業，根本是自誇其言，每項業務要有達成額，人頭戶也没多少人，達不到業績，各種威脅迫害，逼人離職的手段，著實可惡
2025/5/19 下午 12:21:32,"一隻鳥海山分公司
古經理：業務沒有下班時間，20：30準時回報",幹你娘
2025/5/19 下午 12:22:58,某主管:同事都自己買了，就妳還沒有買，就差妳買，分公司才能達標。妳不買對其他同事不公平。,基金不是穩賺不賠！錢再輸贏，客戶的錢也是辛苦錢。
2025/5/19 下午 12:29:26,責任額做不到就回家睡覺；開分戶帳戶數未達標開罵，同事表示會請兒子幫忙開，主管馬上人身攻擊言語霸凌說：妳是多會生,為了保位以及可觀年終獎金無所不用其極言語霸凌，恐嚇移轉客戶，不能外出訪客，每日超過下班時間後再開會惡整營業員，霸凌營業員上行下效，只為表效忠高層
2025/5/19 下午 12:38:58,我身邊的同事,完全壓迫的公司
2025/5/20 上午 12:15:40,統二證券分公司主管，以禁止外出以及叩客表，未達標收回靜止戶，三個月沒交易就被列入靜止戶,統二證券至從凱基除役二貨來公司當主管，扣獎金，精神施壓，不理會勞基法已成常態，資深業務員離職退休增加，他們的業績收回成公單，給接單人員每億數百元的服務費，錯帳還是對半，沒人要接，後來給新人去處理，再來就是違約風險由業務員承擔，先扣全部的風險基金，不夠的再按月扣獎金的部分。
2025/5/20 上午 12:33:02,硬梆梆,勞請資深協理 不要這麼雙標 給一個完整的sop而不是他可以你不行 標準永遠都在變
2025/5/20 上午 1:04:32,某大金控南區最大分點主管，今早又在晨會講：不要當老鼠屎、不要當團隊負擔...等等情緒勒索的話，還說他最不喜歡在背後搞事的人,不成為眾人所愛，也不要成為眾人所棄，帶人不帶心，團隊分崩離析
2025/5/20 上午 8:27:27,公股券商,經理人，業務能力超級差，聽說以前是後台，只會說「使命必達，這一檔一定要百分百」。
2025/5/20 下午 2:56:07,"1.主管在工作的公共場合說：別的同事有成交到  為什麼你就沒有 如果你不想繼續做 那你可以離開目前這個位置
2.當初是在想辦法解決客戶對於公司的下單軟體的疑問與問題並把客戶的需求與狀況說明給主管  但主管覺得說：如果我嫌公司不好  那主管這也可以不用把公司可用資源給你
3.主管說：客戶是營業員的  營業員要能自己處理  跟主管說幹嘛 主管不太想處理他認為的小事
4.ipo的基金與etf要想辦法“使命必達”沒達到就扣考績 不給公司資源
5.當正在想辦法處理客戶的事情 主管認為我處理方式他不滿意 對我亂發脾氣  甚至把兩件毫不相干的事情扯在一起講 另外一件事還是跟客戶毫無相關的事 而且那件事請我沒犯下什麼錯誤  主官當下就曾說：我就情緒化  我就是想把這兩件事拉在一起講  之後就慢慢針對我這個人  對我做出惡意針對  有職場霸凌的疑慮  逼迫我離職  想辦法讓我知難而退","1.如果公司的主管認為說有利益時  客戶就是公司的  當有出問題是 客戶就是營業員的  主管只想處理他想處理的事情 這種管理方式與服務客戶的態度  根本沒資格在金融業當主管 2.還有我們是業務員 是要做銷售的工作去提高薪資和業務獎金  但不是公司管理層拿我們業務員來賺取不當的利益  甚至還用各種不合理的手段和方法去脅迫業務員  除了傷害了業務員  更讓客戶也身受其害 
3.主管如果要這麼公私不分  那麼的情緒化去處理公事  那這樣的主管也不適合在管理層  還有如果主管只想聽他想要的話  完全遵守著他的意思  台面上說可以提出任何意見 但等真的遇到事情要討論與處理時 講到主管他自己不喜歡聽的又會亂發脾氣 這時變成又不可以有任何其他意見  完全是一言堂 甚至還有各種方法去逼迫業務員  那這樣就不是一個正常且健康的職場
4.薪資的制度也是一樣  公司想要修改內容  應該是公司和員工好好坐下來詳細的談話  而不是拿了一張紙說公司要改  員工就一定要簽名  不簽名就用各種脅迫方式去惡意壓迫員工
以上這些親自發生過  如果都想替自己爭取權益 甚至透過法律去申張  那可能工作會保不住 甚至還有可能影響自己在金融業的發展  金融業的員工真的很弱勢"
2025/5/20 下午 3:20:18,彰銀某分行的經理讓大家推傷害險健康險去幫分行提升排名，但這種爛東西自然沒有人要買，只能自掏腰包，經理給壓力到襄理，襄理就會給壓力到我們，說什麼大家都買半年6000元的業績了，只有你們沒有，這樣不合適吧？問題是上半年就6000元，下半年還要再6000元耶！更別說還有其他的健康險車險還要繼續要錢了！經理開會的時候也會說要我們壓一定會送件的日期，讓我們去跟親戚朋友推，說這個很簡單吧？產險是必備的阿！讓親戚買一個應該不難吧？拜託！大家的意外險醫療險都含了這些東西了，為什麼還要多買阿？！大家自然不願意買，我們行員也只能自掏腰包去達成業績了。,我最想對主管和經理說：表格上說好可以扣分的，我就想扣分，不要用情勒的方式逼我們自掏腰包買業績，買了有什麼用？我們這些後台的櫃員考績還不是一樣都只能拿最爛的！那我還買個屁阿！去年兢兢業業的做，以為可以拿到理想的分數，結果後台全員都是最爛的，因為我們排名靠後，爛考績到名額就很多，阿全部都給到後台這邊，是怎樣？後台不是人嗎？
2025/5/21 下午 3:15:38,快到年底了，其他同仁都有招攬到高保障儲蓄險，就只有你沒有，我給你一個月時間，做一張高保障儲蓄險出來，不然考績看著辦！（報告經理，我是後台徵審人員，我接觸不到來銀行的客戶啊！）我不管，沒有客戶可以找親友啊！(報告經理，我沒有錢買儲蓄險。）銀行有員工優惠貸款，可以辦貸款出來做.......某官股銀行實際案例。（每個行員單獨叫進去經理室關起門來恐嚇）,在銀行工作20幾年，根本沒辦法依照自己的規劃存錢，一直都在透支做基金保險等責任額，我是來上班領薪水還是做功德的呢？
2025/5/22 上午 12:10:37,富邦證券新竹區某主管：達不到目標就抽走客戶；變相要求加班；要求早會收盤演練；拿公司薪水就是要替公司做事；就算讓營業員自己買也要達標不然就是讓家人幫忙買單,你讓我們買單，怎麼不以身作則自己先買，為了投信和高層的利益，犧牲營業員和客戶的投資權益和資訊不對等，內含成本和黑箱操作疑慮太大，成分股的股票漲幅和etf本身的淨值對不上
2025/5/22 上午 10:24:48,某主管說：若這次沒達到IPO的責任頟，額度加在下一檔IPO，反正就是會檢討到你達成目標,"營業員要賣保險，要推投信基金IPO，要推銀行信用卡，這些都不是本業營運項目，卻都要有責任額，金融市場應該只證劵營業員最卑微了，本業要承擔的業務風險已經夠大了、還要背負這些，不是要人活不下去嗎？而且主管還要求要加客戶line,等於24小時服務嗎？到底要怎麼過日子？"
